NOTE: THIS LOG IS OBSOLETE AND IS REPLACED BY http://www.eclipse.org/gmf/development/ipquery.php
Committers (Section 1)
ahunter
atikhomirov
crevells
fplante
mfeldman
rgronback
sshaw
vramaswamy
ldamus
mmostafa
dstadnik
ashatalin
rdvorak
Developers (Section 2),,,,,,
,bug #,name,key,committer,size,description
Runtime EMF,114008,Christian Vogt,cvogt,vramaswamy,656 LOC,Sweep emf plugin message bundles
Generation,114189,Radek Dvorak,rdvorak,atikhomirov,1043 LOC,Provide support for batch validation
Generation,114196,Radek Dvorak,rdvorak,ashatalin,6321 LOC,Allow for the definition of diagram validation rules
Runtime Common,114359,Michael Hanner,mhanner,sshaw,6 LOC,ArrangeAllAction prevents command redirection
Runtime EMF,114587,Eliza Tworkowska,etworkow,ahunter,246 LOC,Migrate GMF plug-ins to conform with Eclipse standard way of managing Images and Fonts
Runtime Diagram,114750,Alexander Shatalin,ashatalin,atikhomirov,1688 LOC,Store VisualID of genmodel element as an annotation for notation model Node of the corresponding genmodel node
Runtime Common,114759,Wayne Diu,wdiu,ahunter,878 LOC,Runtime should not fail on querying providers which throws an exceptions
Generation,115057,Radek Dvorak,rdvorak,atikhomirov,39 LOC,Enhance and correct OCL constraint EAnnotations in GMF mapping meta-model
Runtime Common,115062,Alexander Shatalin,ashatalin,atikhomirov,2 LOC,Correct compilation errors in InitDiagramFileAction
Definition,115070,Alexander Shatalin,ashatalin,atikhomirov,3 LOC,Rename ViewProvider.getConnectorViewClass() -> getEdgeViewClass()
Templates,115089,Alexander Shatalin,ashatalin,atikhomirov,29 LOC,Return valid java identifier part from GenCompartment.getClassNamePrefix()
Templates,115107,Alexander Shatalin,ashatalin,atikhomirov,211 LOC,Remove usage of deprecated runtime classes from the templates
Generation,115273,Dmitri Stadnik,dstadnik,atikhomirov,2 LOC,Reflect class name change
Generation,115311,Alexander Shatalin,ashatalin,atikhomirov,18 LOC,Use getClassifierAccessorName()/getFeatureAccessorName() while constructing Package interface calls
Generation,115382,Tom MacDougall,tmacdoug,sshaw,35 LOC,Autosensing for SVG fails for XML files that aren't SVG
Templates,115466,Dmitri Stadnik,dstadnik,atikhomirov,2487 LOC,Generate custom semantic edit policies to maintain better control over links creation
Runtime Diagram,115489,Tom MacDougall,tmacdoug,sshaw,141 LOC,URLImageEditPartTests JUnits need to run as part of the diagram ui AllTests
Generation,115521,Radek Dvorak,rdvorak,atikhomirov,160 LOC,Correct initialization code when Enumeration literal is used as an init value
Generation,115547,Eliza Tworkowska,etworkow,ahunter,41 LOC,Remove duplicate icons from common ui
Runtime Diagram,115625,Alexander Shatalin,ashatalin,atikhomirov,196 LOC,Generate compilable code for two same link mappings/feature with initializer
Runtime Common,115700,Chris McGee,cmcgee,vramaswamy,354 LOC,DemuxingMListener notifies clients that resource is loaded even when the load actually failed
Generation,115704,Christian Vogt,cvogt,vramaswamy,88 LOC,The performance of loading MSL resources with errors could be significantly improved
Templates,115862,Radek Dvorak,rdvorak,atikhomirov,323 LOC,Provide annotation semantics for definition of runtime value-specs and constraints
Runtime EMF,115878,Wayne Diu,wdiu,ahunter,91 LOC,
Definition,116068,Wayne Diu,wdiu,ldamus,15 LOC,Print Preview appears in 4 up by default
Runtime Common,116247,Tom MacDougall,tmacdoug,sshaw,145 LOC,AbstractDocumentProvider allows Save as to a document that already opened
Runtime Common,116946,Wayne Diu,wdiu,ahunter,24 LOC,Compilation errors in org.eclipse.gmf.tests.runtime.common.ui with Eclipse 3.2 I20051116
Runtime Diagram,117127,Wayne Diu,wdiu,ahunter,small,Find and Replace menu item contributed in the default DiagramContributionItem popup menus
Runtime Common,117131,Christian Damus,cdamus,vramaswamy,326 LOC,MSLObjectListener.processNotification(..) incorrectly identifying that string value has changed
Runtime Common,117132,Tom MacDougall,tmacdoug,cmahoney,15 LOC,Can open multiple instances of Geoshapes editor
Runtime EMF,117743,Radek Dvorak,rdvorak,atikhomirov,3401 LOC,"Add support for link creation constraints in gmfmap, gmfgen models"
Runtime EMF,117922,Wayne Diu,wdiu,ahunter,38 LOC,PropertiesConfigurationManager doesn't work with JARs
Samples,118800,Radek Dvorak,rdvorak,atikhomirov,1052 LOC,test link creation constraints updated to match gmfgraph introduction instead of .diadef
Definition,119255,Tom MacDougall,tmacdoug,sshaw,58 LOC,Validation of grid spacing is inconsistent
Runtime Diagram,119255,Tom MacDougall,tmacdoug,ldamus,8 LOC,Validation of grid spacing is inconsistent (patch for grid unit validation)
Runtime EMF/Diagram,120369,Christian Vogt,cvogt,vramaswamy,68 LOC,MSLConstants Class Contains References to Non-GMF
Generation,120655,Radek Dvorak,rdvorak,atikhomirov,20 LOC,declare custom variables to be accessible from context
